Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,,,1,1,17.01175809999404,None,['3'],1,[0.03765529999509454],17.01175809999404,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,24,['1'],1,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,,,,,,,,,2,0,17.129768500002683,None,"['2', '1']",1,"[-0.06220020000182558, 0.09489219999522902]",17.129768500002683,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,25,['3'],3,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,,,,,,,,,1,1,17.33156510000117,None,['3'],1,[0.027002100003301166],17.33156510000117,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,2,0,17.435419899993576,None,"['2', '1']",0,"[-0.06454110000049695, 0.09001870000793133]",17.435419899993576,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_2.xlsx,26:52,1,['1'],1,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,,,3,0,21.54580089999945,None,"['2', '3', '1']",1,"[0.36853330000303686, 0.5889229000022169, 0.7489640999992844]",21.54580089999945,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,1,1,1,0,1,1,1,,,,,,,,,3,0,22.372652999998536,None,"['2', '1', '3']",1,"[-0.002272500001708977, 0.10292469999694731, 0.4164937000023201]",22.372652999998536,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,1,1,1,0,2,2,2,,,,,,,,,1,1,22.858699300006265,None,['2'],1,[0.09420910000335425],22.858699300006265,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,0,1,1,1,0,3,3,3,,,,,,,,,0,0,23.025274400002672,None,None,0,,23.025274400002672,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,1,1,,,,,,,,,0,0,0,0,0,0,0,0,1,1,30.2400728000066,None,['2'],1,[1.1306899000046542],30.2400728000066,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,TMT_A,1,2,,,,,,,,,0,0,0,0,0,1,1,1,1,1,31.441949999993085,None,['1'],1,[0.08600670000305399],31.441949999993085,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,TMT_A,1,3,,,,,,,,,0,0,0,0,0,2,2,2,1,1,31.60847150000336,None,['2'],1,[0.13172510000003967],31.60847150000336,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,TMT_A,1,4,,,,,,,,,0,0,0,0,0,3,3,3,1,1,31.810050899992348,None,['3'],1,[-0.06509819999337196],31.810050899992348,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,TMT_A,1,5,,,,,,,,,0,0,0,0,0,4,4,4,6,0,31.89291249999951,None,"['1', '2', '3', '1', '3', '2']",1,"[0.049542799999471754, 0.23563120000471827, 0.25433569999586325, 0.44293829999514855, 0.6208550000010291, 0.6280996999994386]",31.89291249999951,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,TMT_A,1,6,,,,,,,,,0,0,0,0,0,5,5,5,9,0,32.60153289999289,None,"['1', '3', '2', '1', '3', '2', '1', '2', '3']",1,"[0.09920060000149533, 0.2966506999946432, 0.3006722999998601, 0.4799211000063224, 0.6549210999946808, 0.6820946000079857, 0.8456486000068253, 1.0525513000029605, 1.0701454999943962]",32.60153289999289,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,TMT_A,1,7,,,,,,,,,0,0,0,0,0,6,6,6,6,0,33.740397899993695,None,"['1', '2', '3', '1', '3', '2']",1,"[0.13367680000374094, 0.3919051999982912, 0.40028099999472033, 0.6048161999933654, 0.8237137999967672, 0.8288238999957684]",33.740397899993695,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,TMT_A,1,8,,,,,,,,,0,0,0,0,0,7,7,7,1,1,34.65700229999493,None,['1'],1,[0.10412550000182819],34.65700229999493,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,TMT_A,1,9,,,,,,,,,0,0,0,0,0,8,8,8,1,1,34.830688400004874,None,['2'],1,[0.15347489999840036],34.830688400004874,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,TMT_A,1,10,,,,,,,,,0,0,0,0,0,9,9,9,2,0,35.05982260000019,None,"['3', '1']",1,"[-0.07113569999637548, 0.09979999999632128]",35.05982260000019,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,11,['2'],2,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,TMT_A,1,11,,,,,,,,,0,0,0,0,0,10,10,10,2,0,35.25413529999787,None,"['3', '2']",1,"[0.10154200000397395, 0.1058986999996705]",35.25413529999787,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
