NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,17.71397710009478,None,,,,,,,,,,,,,20.75161020003725,None,"['2', '3', '1', '2', '3', '1', '2']",1,"[-3.097009899909608, -2.9620014999527484, 0.3631515000015497, 0.5118898000800982, 0.5303370000328869, 0.6887525001075119, 0.7556721000000834]",20.75161020003725,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63589600007981,None,"['3', '1']",1,"[-0.032230000011622906, 0.09131020004861057]",21.63589600007981,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.819460100028664,None,['2'],1,[-0.028694000095129013],21.819460100028664,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.90329130005557,None,"['1', '2', '3']",1,"[0.11819279997143894, 0.1729670000495389, 0.2711205000523478]",21.90329130005557,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.269735400099307,None,"['1', '2']",1,"[0.07881059998180717, 0.12569160002749413]",22.269735400099307,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.486397900036536,None,['3'],1,[0.05636330007109791],22.486397900036536,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.63638909999281,None,"['1', '2']",1,"[0.03777469997294247, 0.1257441999623552]",22.63638909999281,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.869906799984165,None,"['3', '1']",1,"[-0.05207229999359697, 0.13187309994827956]",22.869906799984165,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.103289999999106,None,['2'],1,[-0.05630950001068413],23.103289999999106,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.186686200089753,None,"['3', '1']",1,"[-0.034028599970042706, 0.1074642000021413]",23.186686200089753,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4203303999966,None,['2'],1,[-0.0750730000436306],23.4203303999966,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5034244999988,None,['3'],1,[-0.05253350001294166],23.5034244999988,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
