Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_4.xlsx,78:104,2,['1'],TMTstop-A_1_4.png,TMTstop-A_1_4firstgreen.png,TMTstop-A_1_4firstred.png,10,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,1,1,57.48458190006204,None,['1'],1,[0.06733899982646108],57.48458190006204,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,3,['3'],TMTstop-A_1_4linestimulus0.png,TMTstop-A_1_4greenlinestimulus0.png,TMTstop-A_1_4redlinestimulus0.png,10,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,2,1,57.636338900076225,None,"['2', '3']",1,"[-0.046019400004297495, 0.05199950002133846]",57.636338900076225,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,4,['1'],TMTstop-A_1_4linestimulus1.png,TMTstop-A_1_4greenlinestimulus1.png,TMTstop-A_1_4redlinestimulus1.png,10,,,,,,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,1,1,57.78932769992389,None,['1'],1,[0.04814670002087951],57.78932769992389,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,5,['2'],TMTstop-A_1_4linestimulus2.png,TMTstop-A_1_4greenlinestimulus2.png,TMTstop-A_1_4redlinestimulus2.png,10,,,,,,,,,,0,3,3,3,0,4,4,4,,,,,,,,,,,,,1,1,57.91391899995506,None,['2'],1,[-0.009172300109639764],57.91391899995506,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,6,['3'],TMTstop-A_1_4linestimulus3.png,TMTstop-A_1_4greenlinestimulus3.png,TMTstop-A_1_4redlinestimulus3.png,10,,,,,,,,,,0,3,3,3,0,5,5,5,,,,,,,,,,,,,1,1,57.982997899875045,None,['3'],1,[-0.010775099974125624],57.982997899875045,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,7,['2'],TMTstop-A_1_4linestimulus4.png,TMTstop-A_1_4greenlinestimulus4.png,TMTstop-A_1_4redlinestimulus4.png,10,,,,,,,,,,0,3,3,3,0,6,6,6,,,,,,,,,,,,,2,1,58.05315469997004,None,"['1', '2']",1,"[0.06642840011045337, 0.10484120016917586]",58.05315469997004,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,8,['3'],TMTstop-A_1_4linestimulus5.png,TMTstop-A_1_4greenlinestimulus5.png,TMTstop-A_1_4redlinestimulus5.png,10,,,,,,,,,,0,3,3,3,0,7,7,7,,,,,,,,,,,,,1,1,58.23970260005444,None,['3'],1,[0.02590900007635355],58.23970260005444,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,9,['1'],TMTstop-A_1_4linestimulus6.png,TMTstop-A_1_4greenlinestimulus6.png,TMTstop-A_1_4redlinestimulus6.png,10,,,,,,,,,,0,3,3,3,0,8,8,8,,,,,,,,,,,,,1,1,58.345294599886984,None,['1'],1,[0.06795930000953376],58.345294599886984,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,10,['2'],TMTstop-A_1_4linestimulus7.png,TMTstop-A_1_4greenlinestimulus7.png,TMTstop-A_1_4redlinestimulus7.png,10,,,,,,,,,,0,3,3,3,0,9,9,9,,,,,,,,,,,,,1,1,58.49009740003385,None,['2'],1,[0.018161199986934662],58.49009740003385,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,11,['3'],TMTstop-A_1_4linestimulus8.png,TMTstop-A_1_4greenlinestimulus8.png,TMTstop-A_1_4redlinestimulus8.png,10,,,,,,,,,,0,3,3,3,0,10,10,10,,,,,,,,,,,,,1,1,58.58790010004304,None,['3'],1,[-0.034544700058177114],58.58790010004304,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
