NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Stim.started,key_resp_2.started,Attempts,First_attempt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,['1'],1,TMTstop-A_1_plinestimulus9.png,TMTstop-A_1_pgreenlinestimulus9.png,TMTstop-A_1_predlinestimulus9.png,10,,,,,0,11,11,11,,,,,51.00617880000209,51.00617880000209,2,0,"['3', '1']",1,"[0.08412080000562128, 0.3833837999991374]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
13,['2'],2,TMTstop-A_1_plinestimulus10.png,TMTstop-A_1_pgreenlinestimulus10.png,TMTstop-A_1_predlinestimulus10.png,1,,,,,0,12,12,12,,,,,51.461188400004175,51.461188400004175,1,1,['2'],1,[0.184328600007575],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
14,['3'],3,TMTstop-A_1_plinestimulus11.png,TMTstop-A_1_pgreenlinestimulus11.png,TMTstop-A_1_predlinestimulus11.png,None,,,,,0,13,13,13,,,,,51.71599180001067,51.71599180001067,1,1,['3'],1,[0.07939670000632759],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
15,['1'],1,TMTstop-A_1_plinestimulus12.png,TMTstop-A_1_pgreenlinestimulus12.png,TMTstop-A_1_predlinestimulus12.png,None,,,,,0,14,14,14,,,,,51.87351699999999,51.87351699999999,1,1,['1'],1,[0.19915210000181105],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
16,['3'],3,TMTstop-A_1_plinestimulus13.png,TMTstop-A_1_pgreenlinestimulus13.png,TMTstop-A_1_predlinestimulus13.png,None,,,,,0,15,15,15,,,,,52.15219620001153,52.15219620001153,2,0,"['2', '3']",1,"[0.07335269999748562, 0.27652909999596886]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
17,['1'],1,TMTstop-A_1_plinestimulus14.png,TMTstop-A_1_pgreenlinestimulus14.png,TMTstop-A_1_predlinestimulus14.png,None,,,,,0,16,16,16,,,,,52.5494677000097,52.5494677000097,1,1,['1'],1,[0.2158486999978777],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
18,['2'],2,TMTstop-A_1_plinestimulus15.png,TMTstop-A_1_pgreenlinestimulus15.png,TMTstop-A_1_predlinestimulus15.png,None,,,,,0,17,17,17,,,,,52.85562319999735,52.85562319999735,1,1,['2'],1,[0.0839914999960456],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
19,['3'],3,TMTstop-A_1_plinestimulus16.png,TMTstop-A_1_pgreenlinestimulus16.png,TMTstop-A_1_predlinestimulus16.png,None,,,,,0,18,18,18,,,,,53.01839199999813,53.01839199999813,1,1,['3'],1,[0.06746489999932237],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
20,['2'],2,TMTstop-A_1_plinestimulus17.png,TMTstop-A_1_pgreenlinestimulus17.png,TMTstop-A_1_predlinestimulus17.png,None,,,,,0,19,19,19,,,,,53.168113000007,53.168113000007,2,0,"['1', '2']",1,"[0.5467370999976993, 0.9462378000025637]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
21,['3'],3,TMTstop-A_1_plinestimulus18.png,TMTstop-A_1_pgreenlinestimulus18.png,TMTstop-A_1_predlinestimulus18.png,None,,,,,0,20,20,20,,,,,54.20895910001127,54.20895910001127,2,0,"['1', '3']",1,"[0.49296099999628495, 0.7991083999950206]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
22,['1'],1,TMTstop-A_1_plinestimulus19.png,TMTstop-A_1_pgreenlinestimulus19.png,TMTstop-A_1_predlinestimulus19.png,None,,,,,0,21,21,21,,,,,55.08583280000312,55.08583280000312,2,0,"['2', '1']",1,"[1.1316667000064626, 1.3566814000078011]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
