NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,,,,,0,0,0,0,,,,,1,1,35.65943300000072,None,['3'],1,[1.9188814000008279],35.65943300000072,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,,,,,0,1,1,1,,,,,1,1,37.66796020000038,None,['1'],1,[0.9614702999970177],37.66796020000038,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,,,,,0,2,2,2,,,,,1,1,38.713546900005895,None,['2'],1,[0.6271381000042311],38.713546900005895,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,,,,,0,3,3,3,,,,,1,1,39.41768390000652,None,['1'],1,[2.2248324999964098],39.41768390000652,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,,,,,0,4,4,4,,,,,1,1,41.73360970000067,None,['2'],1,[1.5139899999994668],41.73360970000067,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,,,,,0,5,5,5,,,,,1,1,43.33089390000532,None,['1'],1,[1.785331799997948],43.33089390000532,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,,,,,0,6,6,6,,,,,1,1,45.19940530000167,None,['2'],1,[0.8127050000039162],45.19940530000167,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,,,,,0,7,7,7,,,,,1,1,46.09474500000215,None,['1'],1,[-0.05065689999901224],46.09474500000215,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,,,,,0,8,8,8,,,,,1,1,46.28767660000449,None,['2'],1,[3.8481289000046672],46.28767660000449,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,,,,,0,9,9,9,,,,,1,1,50.21343000000343,None,['1'],1,[0.9678141000040341],50.21343000000343,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
11,['2'],2,TMTstop-A_1_plinestimulus8.png,TMTstop-A_1_pgreenlinestimulus8.png,TMTstop-A_1_predlinestimulus8.png,10,,,,,0,10,10,10,,,,,1,1,51.25475340000412,None,['2'],1,[3.2969545000014477],51.25475340000412,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
12,['1'],1,TMTstop-A_1_plinestimulus9.png,TMTstop-A_1_pgreenlinestimulus9.png,TMTstop-A_1_predlinestimulus9.png,10,,,,,0,11,11,11,,,,,1,1,54.643178800004534,None,['1'],1,[0.7222746000043117],54.643178800004534,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
13,['2'],2,TMTstop-A_1_plinestimulus10.png,TMTstop-A_1_pgreenlinestimulus10.png,TMTstop-A_1_predlinestimulus10.png,1,,,,,0,12,12,12,,,,,1,1,55.44633640000393,None,['2'],1,[0.7108262000037939],55.44633640000393,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
14,['3'],3,TMTstop-A_1_plinestimulus11.png,TMTstop-A_1_pgreenlinestimulus11.png,TMTstop-A_1_predlinestimulus11.png,None,,,,,0,13,13,13,,,,,1,1,56.23652810000203,None,['3'],1,[0.6470231999992393],56.23652810000203,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
15,['1'],1,TMTstop-A_1_plinestimulus12.png,TMTstop-A_1_pgreenlinestimulus12.png,TMTstop-A_1_predlinestimulus12.png,None,,,,,0,14,14,14,,,,,1,1,56.987939800004824,None,['1'],1,[0.9740517999962321],56.987939800004824,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
16,['3'],3,TMTstop-A_1_plinestimulus13.png,TMTstop-A_1_pgreenlinestimulus13.png,TMTstop-A_1_predlinestimulus13.png,None,,,,,0,15,15,15,,,,,1,1,58.05704080000578,None,['3'],1,[1.514932600002794],58.05704080000578,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
17,['1'],1,TMTstop-A_1_plinestimulus14.png,TMTstop-A_1_pgreenlinestimulus14.png,TMTstop-A_1_predlinestimulus14.png,None,,,,,0,16,16,16,,,,,1,1,59.6559125000058,None,['1'],1,[0.8590853999994579],59.6559125000058,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
18,['2'],2,TMTstop-A_1_plinestimulus15.png,TMTstop-A_1_pgreenlinestimulus15.png,TMTstop-A_1_predlinestimulus15.png,None,,,,,0,17,17,17,,,,,1,1,60.592753700002504,None,['2'],1,[0.8570684000005713],60.592753700002504,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
19,['3'],3,TMTstop-A_1_plinestimulus16.png,TMTstop-A_1_pgreenlinestimulus16.png,TMTstop-A_1_predlinestimulus16.png,None,,,,,0,18,18,18,,,,,1,1,61.540047200003755,None,['3'],1,[0.9572153999979491],61.540047200003755,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
20,['2'],2,TMTstop-A_1_plinestimulus17.png,TMTstop-A_1_pgreenlinestimulus17.png,TMTstop-A_1_predlinestimulus17.png,None,,,,,0,19,19,19,,,,,1,1,62.592390100006014,None,['2'],1,[0.5969803999978467],62.592390100006014,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
21,['3'],3,TMTstop-A_1_plinestimulus18.png,TMTstop-A_1_pgreenlinestimulus18.png,TMTstop-A_1_predlinestimulus18.png,None,,,,,0,20,20,20,,,,,1,1,63.276564300002065,None,['3'],1,[2.8611591000008048],63.276564300002065,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
22,['1'],1,TMTstop-A_1_plinestimulus19.png,TMTstop-A_1_pgreenlinestimulus19.png,TMTstop-A_1_predlinestimulus19.png,None,,,,,0,21,21,21,,,,,1,1,66.21652610000456,None,['1'],1,[0.3998621999999159],66.21652610000456,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
23,['2'],2,TMTstop-A_1_plinestimulus20.png,TMTstop-A_1_pgreenlinestimulus20.png,TMTstop-A_1_predlinestimulus20.png,None,,,,,0,22,22,22,,,,,1,1,66.70023450000008,None,['2'],1,[0.509621999997762],66.70023450000008,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
24,['3'],3,TMTstop-A_1_plinestimulus21.png,TMTstop-A_1_pgreenlinestimulus21.png,TMTstop-A_1_predlinestimulus21.png,None,,,,,0,23,23,23,,,,,1,1,67.29278880000493,None,['3'],1,[0.5282232999961707],67.29278880000493,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
25,['2'],2,TMTstop-A_1_plinestimulus22.png,TMTstop-A_1_pgreenlinestimulus22.png,TMTstop-A_1_predlinestimulus22.png,None,,,,,0,24,24,24,,,,,1,1,67.91437670000596,None,['2'],1,[0.33246840000356315],67.91437670000596,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
None,None,None,TMTstop-A_1_plinestimulus23.png,TMTstop-A_1_pgreenlinestimulus23.png,TMTstop-A_1_predlinestimulus23.png,None,,,,,0,25,25,25,,,,,0,0,68.34251700000459,None,None,1,,68.34251700000459,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
1,['3'],3,TMTstop-B_1_p.png,TMTstop-B_1_p.png,TMTstop-B_1_p.png,10,,,,,,,,,0,0,0,0,1,1,93.29274260000238,None,['3'],1,[1.651105999997526],93.29274260000238,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
