Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,24,['1'],1,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,1,1,14.654231499880552,None,['1'],1,[0.05926680006086826],14.654231499880552,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,25,['3'],3,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,2,0,14.786236499901861,None,"['2', '3']",1,"[-0.0055593999568372965, 0.09561989991925657]",14.786236499901861,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,2,0,14.981088300002739,None,"['1', '2']",0,"[0.046826599864289165, 0.08731990004889667]",14.981088300002739,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_2.xlsx,26:52,1,['1'],1,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,1,1,19.11205319990404,None,['1'],1,[0.5020492000039667],19.11205319990404,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,1,1,1,0,1,1,1,2,0,19.695778399938717,None,"['2', '3']",1,"[-0.0028505001682788134, 0.08823139988817275]",19.695778399938717,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,1,1,1,0,2,2,2,2,0,19.89794009993784,None,"['1', '2']",1,"[0.01941619999706745, 0.07909029978327453]",19.89794009993784,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,0,1,1,1,0,3,3,3,1,1,20.08459319989197,None,['3'],1,[-0.007375000044703484],20.08459319989197,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_2.xlsx,26:52,5,['1'],1,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,0,1,1,1,0,4,4,4,1,1,20.161060099955648,None,['1'],1,[0.036790600046515465],20.161060099955648,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_2.xlsx,26:52,6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,0,1,1,1,0,5,5,5,2,0,20.27951020002365,None,"['2', '3']",1,"[-0.027022100053727627, 0.08291599992662668]",20.27951020002365,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
