NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,,,,,21.526542999999947,None,None,,21.526542999999947,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,22.525467470000148,None,None,,22.525467470000148,None,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,2,0,2,0,0,0,0,0,,,,,,,,,,,22.59572479999042,None,1,0.9284546999988379,22.59572479999042,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,2,0,2,0,0,1,1,1,,,,,,,,,,,23.59558229999675,None,2,0.37034949999360833,23.59558229999675,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,2,0,2,0,0,2,2,2,,,,,,,,,,,24.054173799988348,None,3,0.027690800008713268,24.054173799988348,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,2,0,2,0,0,3,3,3,,,,,,,,,,,24.151110699996934,None,1,0.05293109999911394,24.151110699996934,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,2,0,2,0,0,4,4,4,,,,,,,,,,,24.276284999999916,None,2,0.050618499997654,24.276284999999916,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,2,0,2,0,0,5,5,5,,,,,,,,,,,24.394276499995613,None,3,0.019930299997213297,24.394276499995613,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,2,0,2,0,0,6,6,6,,,,,,,,,,,24.491671999989194,None,1,0.04286370000045281,24.491671999989194,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,2,0,2,0,0,7,7,7,,,,,,,,,,,24.616469399989,None,3,0.12912740001047496,24.616469399989,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,2,0,2,0,0,8,8,8,,,,,,,,,,,24.817946800001664,None,2,0.18068610000773333,24.817946800001664,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,2,0,2,0,0,9,9,9,,,,,,,,,,,25.102694899993367,None,3,0.8497102000110317,25.102694899993367,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,2,0,2,0,0,10,10,10,,,,,,,,,,,26.040492599990102,None,1,0.45252310000068974,26.040492599990102,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,2,0,2,0,0,11,11,11,,,,,,,,,,,26.56814370000211,None,2,0.5414581999939401,26.56814370000211,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,2,0,2,0,0,12,12,12,,,,,,,,,,,27.179251399997156,None,None,,27.179251399997156,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,28.18431799999962,None,space,1.0044640000123763,28.18431799999962,None,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,3,0,3,0,0,0,0,0,,,,,,,,,,,29.26920819999941,None,1,1.8624741999956314,29.26920819999941,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,3,0,3,0,0,1,1,1,,,,,,,,,,,31.22054909999133,None,2,0.2564544000051683,31.22054909999133,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,3,0,3,0,0,2,2,2,,,,,,,,,,,31.574328000002424,None,3,0.02242829999886453,31.574328000002424,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,3,0,3,0,0,3,3,3,,,,,,,,,,,31.671576599997934,None,1,0.06272520001220983,31.671576599997934,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
