NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,,,,,0,1,1,1,,,,,1,1,182.6192762000137,None,['1'],1,[5.2163208999845665],182.6192762000137,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,,,,,0,2,2,2,,,,,1,1,187.9184787000122,None,['2'],1,[5.94487599999411],187.9184787000122,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,,,,,0,3,3,3,,,,,1,1,193.9588289000094,None,['1'],1,[1.4506958000129089],193.9588289000094,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,,,,,0,4,4,4,,,,,1,1,195.50861730001634,None,['2'],1,[1.0034833999816328],195.50861730001634,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,,,,,0,5,5,5,,,,,1,1,196.60513750000973,None,['1'],1,[0.7680484000011347],196.60513750000973,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,,,,,0,6,6,6,,,,,1,1,197.45845740000368,None,['2'],1,[1.9363402999879327],197.45845740000368,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,,,,,0,7,7,7,,,,,1,1,199.48143030001665,None,['1'],1,[1.83468269999139],199.48143030001665,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,,,,,0,8,8,8,,,,,1,1,201.4032148999977,None,['2'],1,[0.8827472999983002],201.4032148999977,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,,,,,0,9,9,9,,,,,1,1,202.37527690001298,None,['1'],1,[5.724768100015353],202.37527690001298,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
11,['2'],2,TMTstop-A_1_plinestimulus8.png,TMTstop-A_1_pgreenlinestimulus8.png,TMTstop-A_1_predlinestimulus8.png,10,,,,,0,10,10,10,,,,,1,1,208.1803835000028,None,['2'],1,[1.4013542000029702],208.1803835000028,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
