NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,1.0,61.58251190185547,61.58251190185547,0.0,,1.0,1.0,0.0,2,0.006768499966710806,61.58251190185547,61.58251190185547,0.0,,23.0
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,1.0,61.67987823486328,61.67987823486328,0.0,,1.0,1.0,0.0,3,1.3080124000553042,61.67987823486328,61.67987823486328,0.0,,24.0
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,1.0,63.08245086669922,63.08245086669922,0.0,,1.0,1.0,0.0,,'--',63.08245086669922,63.08245086669922,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Jan_12_1148
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,143.42490022693565
