Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,11,['2'],2,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,1,11,,,,,,,,,0,0,0,0,0,10,10,10,1,1,21.479835100006312,None,['2'],1,[-0.025230000028386712],21.479835100006312,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,1,12,,,,,,,,,0,0,0,0,0,11,11,11,1,1,21.55593689996749,None,['3'],1,[-0.02877400000579655],21.55593689996749,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,13,,,,,,,,,0,0,0,0,0,12,12,12,2,1,21.63165849982761,None,"['1', '2']",1,"[0.02867919998243451, 0.08372189989313483]",21.63165849982761,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,1,14,,,,,,,,,0,0,0,0,0,13,13,13,1,1,21.82560079987161,None,['3'],1,[-0.027676699915900826],21.82560079987161,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,1,15,,,,,,,,,0,0,0,0,0,14,14,14,1,1,21.902035600040108,None,['1'],1,[0.0049761999398469925],21.902035600040108,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,1,16,,,,,,,,,0,0,0,0,0,15,15,15,2,1,21.992247599875554,None,"['2', '3']",1,"[0.010735299903899431, 0.04830579995177686]",21.992247599875554,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,1,17,,,,,,,,,0,0,0,0,0,16,16,16,2,1,22.125150499865413,None,"['1', '2']",1,"[0.052262800047174096, 0.13151850015856326]",22.125150499865413,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,1,18,,,,,,,,,0,0,0,0,0,17,17,17,1,1,22.360301499953493,None,['3'],1,[-0.041623299941420555],22.360301499953493,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,1,19,,,,,,,,,0,0,0,0,0,18,18,18,1,1,22.43666210002266,None,['1'],1,[0.023283400107175112],22.43666210002266,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,1,20,,,,,,,,,0,0,0,0,0,19,19,19,2,1,22.541012899950147,None,"['2', '3']",1,"[0.00222550006583333, 0.06790519994683564]",22.541012899950147,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
