NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.707540000090376,None,['3'],1,[-0.013148199999704957],25.707540000090376,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.790988799883053,None,['1'],1,[0.03134220000356436],25.790988799883053,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.908024299889803,None,"['2', '3']",1,"[-0.011309200199320912, 0.07187019987031817]",25.908024299889803,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.091156200040132,None,['1'],1,[0.02649959991686046],26.091156200040132,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.20783789991401,None,"['2', '3']",1,"[-0.009164100047200918, 0.082387899979949]",26.20783789991401,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39122230000794,None,['1'],1,[0.04566920013166964],26.39122230000794,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.524796100100502,None,['2'],1,[-0.014867000048980117],26.524796100100502,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.608006400056183,None,['3'],1,[-0.005969400051981211],26.608006400056183,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6915923000779,None,"['1', '2', '3', '1', '2', '3']",0,"[0.04775899997912347, 0.12351569999009371, 0.21968229999765754, 0.3244193000718951, 0.4196824000682682, 0.5109572000801563]",26.6915923000779,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,27.74011839996092,None,,,,,,,,,,,,,30.776725499890745,None,"['1', '2', '3']",1,"[0.4842174998484552, 0.5946988998912275, 0.6629641999024898]",30.776725499890745,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
