NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
8,3,TMTBD17.bmp,,,,,,,0,14,14,14,,,,,27.9984259999992,None,3,1,0.217345000000023,27.9984259999992,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
H,2,TMTBD1G.bmp,,,,,,,0,15,15,15,,,,,28.248525599999994,None,1,0,0.11004259999936039,28.248525599999994,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
9,3,TMTBD18.bmp,,,,,,,0,16,16,16,,,,,28.398543999999674,None,2,0,0.04596179999953165,28.398543999999674,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
I,1,TMTBD1H.bmp,,,,,,,0,17,17,17,,,,,28.481925499999306,None,3,0,0.06895050000002811,28.481925499999306,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
10,2,TMTBD19.bmp,,,,,,,0,18,18,18,,,,,28.59863519999999,None,1,0,0.1252770999999484,28.59863519999999,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
J,1,TMTBD1I.bmp,,,,,,,0,19,19,19,,,,,28.765378399999463,None,2,0,0.0037103000004208297,28.765378399999463,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
11,3,TMTBD110.bmp,,,,,,,0,20,20,20,,,,,28.815377999999328,None,3,1,0.06303339999976743,28.815377999999328,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
K,1,TMTBD1J.bmp,,,,,,,0,21,21,21,,,,,28.91541859999961,None,1,1,0.1281896999998935,28.91541859999961,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
12,2,TMTBD111.bmp,,,,,,,0,22,22,22,,,,,29.082173499999953,None,2,1,0.016209499999604304,29.082173499999953,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
L,3,TMTBD1K.bmp,,,,,,,0,23,23,23,,,,,29.13223729999936,None,3,1,0.08153029999994033,29.13223729999936,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
None,None,TMTBD112.bmp,,,,,,,0,24,24,24,,,,,29.248924099999385,None,1,0,0.14304929999980232,29.248924099999385,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.415719999999965,None,,,,,,,
