NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,90.43398270000762,None,1,1,0.9405453000072157,90.43398270000762,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,91.50869349999994,None,2,1,8.804251399997156,91.50869349999994,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
1,3,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,0,0,0,,,,,100.41688980000617,None,None,0,,100.41688980000617,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
A,1,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,1,1,1,,,,,106.88338876667063,None,None,0,,106.88338876667063,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
2,3,TMT-control2_linestimulus0.png,TMT-control2_greenlinestimulus0.png,TMT-control2_redlinestimulus0.png,,,,,0,2,2,2,,,,,106.9500554333373,None,None,0,,106.9500554333373,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
B,1,TMT-control2_linestimulus1.png,TMT-control2_greenlinestimulus1.png,TMT-control2_redlinestimulus1.png,,,,,0,3,3,3,,,,,107.01672210000397,None,None,0,,107.01672210000397,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
3,2,TMT-control2_linestimulus2.png,TMT-control2_greenlinestimulus2.png,TMT-control2_redlinestimulus2.png,,,,,0,4,4,4,,,,,107.08338876667064,None,None,0,,107.08338876667064,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
C,3,TMT-control2_linestimulus3.png,TMT-control2_greenlinestimulus3.png,TMT-control2_redlinestimulus3.png,,,,,0,5,5,5,,,,,107.16672210000397,None,None,0,,107.16672210000397,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
4,2,TMT-control2_linestimulus4.png,TMT-control2_greenlinestimulus4.png,TMT-control2_redlinestimulus4.png,,,,,0,6,6,6,,,,,107.23338876667064,None,None,0,,107.23338876667064,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
D,1,TMT-control2_linestimulus5.png,TMT-control2_greenlinestimulus5.png,TMT-control2_redlinestimulus5.png,,,,,0,7,7,7,,,,,107.3000554333373,None,None,0,,107.3000554333373,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
5,3,TMT-control2_linestimulus6.png,TMT-control2_greenlinestimulus6.png,TMT-control2_redlinestimulus6.png,,,,,0,8,8,8,,,,,107.36672210000397,None,None,0,,107.36672210000397,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
E,2,TMT-control2_linestimulus7.png,TMT-control2_greenlinestimulus7.png,TMT-control2_redlinestimulus7.png,,,,,0,9,9,9,,,,,107.43338876667063,None,None,0,,107.43338876667063,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
6,1,TMT-control2_linestimulus8.png,TMT-control2_greenlinestimulus8.png,TMT-control2_redlinestimulus8.png,,,,,0,10,10,10,,,,,107.50005543333731,None,None,0,,107.50005543333731,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
F,2,TMT-control2_linestimulus9.png,TMT-control2_greenlinestimulus9.png,TMT-control2_redlinestimulus9.png,,,,,0,11,11,11,,,,,107.56672210000397,None,None,0,,107.56672210000397,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,107.59802570000465,None,,,,,,,
